lat,lon,density
35.14475,129.1164567,38
35.14475,129.1170885,41
35.14475,129.1177204,43
35.1452,129.1098222,39
35.1452,129.1104541,38
35.1452,129.1110859,47
35.1452,129.1117178,100
35.1452,129.1123496,100
35.1452,129.1129815,44
35.1452,129.1136133,44
35.1452,129.1142452,45
35.1452,129.114877,43
35.1452,129.1155089,41
35.1452,129.1161407,41
35.1452,129.1167726,43
35.1452,129.1174044,44
35.14565,129.1101381,9
35.14565,129.11077,9
35.14565,129.1114018,49
35.14565,129.1120337,100
35.14565,129.1126656,100
35.14565,129.1132974,29
35.14565,129.1139293,43
35.14565,129.1145611,44
35.14565,129.115193,44
35.14565,129.1158248,44
35.14565,129.1164567,44
35.14565,129.1170885,45
35.14565,129.1177204,46
35.1461,129.1098222,9
35.1461,129.1104541,9
35.1461,129.1110859,9
35.1461,129.1117178,49
35.1461,129.1123496,55
35.1461,129.1129815,29
35.1461,129.1136133,29
35.1461,129.1142452,42
35.1461,129.114877,45
35.1461,129.1155089,45
35.1461,129.1161407,46
35.1461,129.1167726,46
35.1461,129.1174044,47
35.14655,129.1101381,27
35.14655,129.11077,9
35.14655,129.1114018,40
35.14655,129.1120337,47
35.14655,129.1126656,45
35.14655,129.1132974,29
35.14655,129.1139293,40
35.14655,129.1145611,45
35.147,129.1104541,36
35.147,129.1110859,39
35.147,129.1117178,44
35.147,129.1123496,45
35.147,129.1129815,45
35.147,129.1136133,45
35.147,129.1142452,46
35.147,129.114877,48
35.14745,129.1101381,41
35.14745,129.11077,41
35.14745,129.1114018,43
35.14745,129.1120337,45
35.14745,129.1126656,46
35.14745,129.1132974,48
35.14745,129.1139293,49
35.14745,129.1145611,50
35.14745,129.115193,50
35.1479,129.1104541,42
35.1479,129.1110859,42
35.1479,129.1117178,43
35.1479,129.1123496,45
35.1479,129.1129815,48
35.1479,129.1136133,53
35.1479,129.1142452,54
35.1479,129.114877,52
35.14835,129.11077,42
35.14835,129.1114018,41
35.14835,129.1120337,41
35.14835,129.1126656,44
35.14835,129.1132974,64
35.14835,129.1139293,64
35.14835,129.1145611,64
35.14835,129.115193,53
35.1488,129.1110859,39
35.1488,129.1117178,37
35.1488,129.1123496,37
35.1488,129.1129815,44
35.1488,129.1136133,64
35.1488,129.1142452,64
35.1488,129.114877,54
35.14925,129.11077,39
35.14925,129.1114018,19
35.14925,129.1120337,19
35.14925,129.1126656,29
35.14925,129.1132974,45
35.14925,129.1139293,51
35.14925,129.1145611,54
35.14925,129.115193,56
35.1497,129.1110859,37
35.1497,129.1117178,19
35.1497,129.1123496,19
35.1497,129.1129815,42
35.1497,129.1136133,49
35.1497,129.1142452,53
35.1497,129.114877,58
35.1497,129.1155089,100
35.15015,129.1114018,40
35.15015,129.1120337,19
35.15015,129.1126656,44
35.15015,129.1132974,50
35.15015,129.1139293,54
35.15015,129.1145611,56
35.15015,129.115193,100
35.15015,129.1158248,100
35.1506,129.1110859,45
35.1506,129.1117178,47
35.1506,129.1123496,64
35.1506,129.1129815,9
35.1506,129.1136133,9
35.1506,129.1142452,54
35.1506,129.114877,58
35.1506,129.1155089,100
35.1506,129.1161407,100
35.1506,129.1167726,48
35.15105,129.1114018,49
35.15105,129.1120337,64
35.15105,129.1126656,64
35.15105,129.1132974,9
35.15105,129.1139293,9
35.15105,129.1145611,100
35.15105,129.115193,58
35.15105,129.1158248,19
35.15105,129.1164567,19
35.15105,129.1170885,47
35.1515,129.1117178,50
35.1515,129.1123496,64
35.1515,129.1129815,19
35.1515,129.1136133,9
35.1515,129.1142452,100
35.1515,129.114877,100
35.1515,129.1155089,100
35.1515,129.1161407,48
35.1515,129.1167726,47
35.1515,129.1174044,47
35.15195,129.1114018,49
35.15195,129.1120337,46
35.15195,129.1126656,19
35.15195,129.1132974,19
35.15195,129.1139293,100
35.15195,129.1145611,100
35.15195,129.115193,100
35.15195,129.1158248,53
35.15195,129.1164567,48
35.15195,129.1170885,46
35.15195,129.1177204,45
35.1524,129.1117178,49
35.1524,129.1123496,47
35.1524,129.1129815,19
35.1524,129.1136133,100
35.1524,129.1142452,100
35.1524,129.114877,58
35.1524,129.1155089,50
35.1524,129.1161407,45
35.1524,129.1167726,42
35.1524,129.1174044,39
35.1524,129.1180363,43
35.15285,129.1120337,52
35.15285,129.1126656,55
35.15285,129.1132974,65
35.15285,129.1139293,100
35.15285,129.1145611,63
35.15285,129.115193,50
35.15285,129.1158248,54
35.15285,129.1164567,54
35.15285,129.1170885,9
35.15285,129.1177204,9
35.15285,129.1183522,44
35.15285,129.1246707,53
35.1533,129.1117178,53
35.1533,129.1123496,54
35.1533,129.1129815,58
35.1533,129.1136133,100
35.1533,129.1142452,100
35.1533,129.114877,100
35.1533,129.1155089,54
35.1533,129.1161407,54
35.1533,129.1167726,9
35.1533,129.1174044,9
35.1533,129.1180363,59
35.1533,129.1186681,48
35.1533,129.1243548,55
35.1533,129.1249867,59
35.1533,129.1256185,59
35.1533,129.1262504,55
35.15375,129.1120337,53
35.15375,129.1126656,49
35.15375,129.1132974,49
35.15375,129.1139293,100
35.15375,129.1145611,100
35.15375,129.115193,53
35.15375,129.1158248,46
35.15375,129.1164567,44
35.15375,129.1170885,44
35.15375,129.1177204,59
35.15375,129.1183522,59
35.15375,129.1189841,50
35.15375,129.1196159,50
35.15375,129.1240389,54
35.15375,129.1246707,63
35.15375,129.1253026,72
35.15375,129.1259344,64
35.15375,129.1265663,54
35.15375,129.1271982,50
35.15375,129.12783,48
35.1542,129.1123496,49
35.1542,129.1129815,49
35.1542,129.1136133,49
35.1542,129.1142452,62
35.1542,129.114877,57
35.1542,129.1155089,51
35.1542,129.1161407,49
35.1542,129.1167726,50
35.1542,129.1174044,59
35.1542,129.1180363,59
35.1542,129.1186681,53
35.1542,129.1193,51
35.1542,129.1199319,50
35.1542,129.1205637,50
35.1542,129.1211956,51
35.1542,129.1218274,51
35.1542,129.1243548,60
35.1542,129.1249867,100
35.1542,129.1256185,100
35.1542,129.1262504,55
35.1542,129.1268822,48
35.1542,129.1275141,48
35.1542,129.1281459,47
35.1542,129.1287778,45
35.1542,129.1294096,43
35.1542,129.1300415,40
35.1542,129.1313052,59
35.15465,129.1120337,53
35.15465,129.1126656,53
35.15465,129.1132974,54
35.15465,129.1139293,56
35.15465,129.1145611,56
35.15465,129.115193,54
35.15465,129.1158248,53
35.15465,129.1164567,55
35.15465,129.1170885,60
35.15465,129.1177204,60
35.15465,129.1183522,56
35.15465,129.1189841,53
35.15465,129.1196159,50
35.15465,129.1202478,49
35.15465,129.1208796,49
35.15465,129.1215115,54
35.15465,129.1221433,52
35.15465,129.1227752,47
35.15465,129.123407,46
35.15465,129.1240389,51
35.15465,129.1246707,63
35.15465,129.1253026,100
35.15465,129.1259344,100
35.15465,129.1265663,29
35.15465,129.1271982,45
35.15465,129.12783,46
35.15465,129.1284619,46
35.15465,129.1290937,44
35.15465,129.1297256,41
35.15465,129.1303574,59
35.15465,129.1309893,59
35.15465,129.1316211,59
35.15465,129.132253,24
35.15465,129.1328848,38
35.15465,129.1335167,45
35.15465,129.1341485,49
35.1551,129.1123496,53
35.1551,129.1129815,54
35.1551,129.1136133,54
35.1551,129.1142452,55
35.1551,129.114877,54
35.1551,129.1155089,54
35.1551,129.1161407,57
35.1551,129.1167726,100
35.1551,129.1174044,100
35.1551,129.1180363,66
35.1551,129.1186681,56
35.1551,129.1193,52
35.1551,129.1199319,44
35.1551,129.1205637,44
35.1551,129.1211956,100
35.1551,129.1218274,100
35.1551,129.1224593,48
35.1551,129.1230911,41
35.1551,129.123723,42
35.1551,129.1243548,48
35.1551,129.1249867,54
35.1551,129.1256185,29
35.1551,129.1262504,29
35.1551,129.1268822,42
35.1551,129.1275141,46
35.1551,129.1281459,46
35.1551,129.1287778,45
35.1551,129.1294096,43
35.1551,129.1300415,40
35.1551,129.1306733,59
35.1551,129.1313052,59
35.1551,129.131937,24
35.1551,129.1325689,24
35.1551,129.1332007,44
35.1551,129.1338326,54
35.1551,129.1344645,52
35.15555,129.1126656,53
35.15555,129.1132974,53
35.15555,129.1139293,54
35.15555,129.1145611,54
35.15555,129.115193,54
35.15555,129.1158248,55
35.15555,129.1164567,62
35.15555,129.1170885,100
35.15555,129.1177204,100
35.15555,129.1183522,61
35.15555,129.1189841,54
35.15555,129.1196159,50
35.15555,129.1202478,44
35.15555,129.1208796,100
35.15555,129.1215115,100
35.15555,129.1221433,100
35.15555,129.1227752,9
35.15555,129.123407,33
35.15555,129.1240389,38
35.15555,129.1246707,43
35.15555,129.1253026,45
35.15555,129.1259344,43
35.15555,129.1265663,43
35.15555,129.1271982,45
35.15555,129.12783,47
35.15555,129.1284619,47
35.15555,129.1290937,46
35.15555,129.1297256,44
35.15555,129.1303574,41
35.15555,129.1309893,39
35.15555,129.1316211,37
35.15555,129.132253,24
35.15555,129.1328848,42
35.15555,129.1335167,54
35.15555,129.1341485,54
35.15555,129.1347804,54
35.156,129.1123496,52
35.156,129.1129815,52
35.156,129.1136133,53
35.156,129.1142452,53
35.156,129.114877,53
35.156,129.1155089,53
35.156,129.1161407,53
35.156,129.1167726,29
35.156,129.1174044,62
35.156,129.1180363,61
35.156,129.1186681,57
35.156,129.1193,53
35.156,129.1199319,51
35.156,129.1205637,52
35.156,129.1211956,100
35.156,129.1218274,100
35.156,129.1224593,9
35.156,129.1230911,9
35.156,129.123723,30
35.156,129.1243548,34
35.156,129.1249867,39
35.156,129.1256185,42
35.156,129.1262504,43
35.156,129.1268822,45
35.156,129.1275141,47
35.156,129.1281459,49
35.156,129.1287778,49
35.156,129.1294096,47
35.156,129.1300415,45
35.156,129.1306733,43
35.156,129.1313052,42
35.156,129.131937,41
35.156,129.1325689,44
35.156,129.1332007,50
35.156,129.1338326,54
35.156,129.1344645,54
35.156,129.1350963,57
35.15645,129.1126656,52
35.15645,129.1132974,51
35.15645,129.1139293,52
35.15645,129.1145611,52
35.15645,129.115193,53
35.15645,129.1158248,51
35.15645,129.1164567,29
35.15645,129.1170885,29
35.15645,129.1177204,57
35.15645,129.1183522,58
35.15645,129.1189841,56
35.15645,129.1196159,54
35.15645,129.1202478,52
35.15645,129.1208796,49
35.15645,129.1215115,43
35.15645,129.1221433,34
35.15645,129.1227752,34
35.15645,129.123407,26
35.15645,129.1240389,9
35.15645,129.1246707,30
35.15645,129.1253026,37
35.15645,129.1259344,41
35.15645,129.1265663,44
35.15645,129.1271982,47
35.15645,129.12783,51
35.15645,129.1284619,53
35.15645,129.1290937,52
35.15645,129.1297256,50
35.15645,129.1303574,47
35.15645,129.1309893,46
35.15645,129.1316211,45
35.15645,129.132253,47
35.15645,129.1328848,50
35.15645,129.1335167,54
35.15645,129.1341485,54
35.15645,129.1347804,54
35.1569,129.1129815,50
35.1569,129.1136133,49
35.1569,129.1142452,50
35.1569,129.114877,53
35.1569,129.1155089,54
35.1569,129.1161407,50
35.1569,129.1167726,29
35.1569,129.1174044,100
35.1569,129.1180363,100
35.1569,129.1186681,59
35.1569,129.1193,58
35.1569,129.1199319,56
35.1569,129.1205637,50
35.1569,129.1211956,43
35.1569,129.1218274,34
35.1569,129.1224593,34
35.1569,129.1230911,19
35.1569,129.123723,9
35.1569,129.1243548,9
35.1569,129.1249867,31
35.1569,129.1256185,37
35.1569,129.1262504,40
35.1569,129.1268822,45
35.1569,129.1275141,52
35.1569,129.1281459,59
35.1569,129.1287778,59
35.1569,129.1294096,56
35.1569,129.1300415,52
35.1569,129.1306733,50
35.1569,129.1313052,49
35.1569,129.131937,49
35.1569,129.1325689,50
35.1569,129.1332007,53
35.1569,129.1338326,56
35.1569,129.1344645,54
35.15735,129.1132974,47
35.15735,129.1139293,34
35.15735,129.1145611,34
35.15735,129.115193,59
35.15735,129.1158248,58
35.15735,129.1164567,19
35.15735,129.1170885,100
35.15735,129.1177204,100
35.15735,129.1183522,63
35.15735,129.1189841,59
35.15735,129.1196159,100
35.15735,129.1202478,60
35.15735,129.1208796,47
35.15735,129.1215115,34
35.15735,129.1221433,34
35.15735,129.1227752,19
35.15735,129.123407,29
35.15735,129.1240389,9
35.15735,129.1246707,30
35.15735,129.1253026,34
35.15735,129.1259344,36
35.15735,129.1265663,37
35.15735,129.1271982,48
35.15735,129.12783,67
35.15735,129.1284619,100
35.15735,129.1290937,66
35.15735,129.1297256,58
35.15735,129.1303574,54
35.15735,129.1309893,52
35.15735,129.1316211,52
35.15735,129.132253,52
35.15735,129.1328848,53
35.15735,129.1335167,55
35.15735,129.1341485,56
35.1578,129.1129815,48
35.1578,129.1136133,34
35.1578,129.1142452,34
35.1578,129.114877,34
35.1578,129.1155089,100
35.1578,129.1161407,19
35.1578,129.1167726,19
35.1578,129.1174044,100
35.1578,129.1180363,60
35.1578,129.1186681,24
35.1578,129.1193,24
35.1578,129.1199319,100
35.1578,129.1205637,55
35.1578,129.1211956,34
35.1578,129.1218274,34
35.1578,129.1224593,34
35.1578,129.1230911,64
35.1578,129.123723,64
35.1578,129.1243548,34
35.1578,129.1249867,24
35.1578,129.1256185,24
35.1578,129.1262504,19
35.1578,129.1268822,19
35.1578,129.1275141,60
35.1578,129.1281459,100
35.1578,129.1287778,100
35.1578,129.1294096,66
35.1578,129.1300415,59
35.1578,129.1306733,56
35.1578,129.1313052,55
35.1578,129.131937,55
35.1578,129.1325689,55
35.1578,129.1332007,55
35.1578,129.1338326,55
35.15825,129.1132974,48
35.15825,129.1139293,34
35.15825,129.1145611,34
35.15825,129.115193,100
35.15825,129.1158248,100
35.15825,129.1164567,19
35.15825,129.1170885,19
35.15825,129.1177204,64
35.15825,129.1183522,24
35.15825,129.1189841,24
35.15825,129.1196159,24
35.15825,129.1202478,59
35.15825,129.1208796,48
35.15825,129.1215115,34
35.15825,129.1221433,34
35.15825,129.1227752,64
35.15825,129.123407,64
35.15825,129.1240389,43
35.15825,129.1246707,24
35.15825,129.1253026,24
35.15825,129.1259344,36
35.15825,129.1265663,19
35.15825,129.1271982,64
35.15825,129.12783,64
35.15825,129.1284619,100
35.15825,129.1290937,70
35.15825,129.1297256,62
35.15825,129.1303574,60
35.15825,129.1309893,59
35.15825,129.1316211,59
35.15825,129.132253,58
35.15825,129.1328848,57
35.15825,129.1335167,56
35.1587,129.1136133,50
35.1587,129.1142452,52
35.1587,129.114877,59
35.1587,129.1155089,62
35.1587,129.1161407,34
35.1587,129.1167726,34
35.1587,129.1174044,64
35.1587,129.1180363,64
35.1587,129.1186681,54
35.1587,129.1193,54
35.1587,129.1199319,54
35.1587,129.1205637,51
35.1587,129.1211956,46
35.1587,129.1218274,42
35.1587,129.1224593,42
35.1587,129.1230911,64
35.1587,129.123723,64
35.1587,129.1243548,41
35.1587,129.1249867,24
35.1587,129.1256185,59
35.1587,129.1262504,59
35.1587,129.1268822,64
35.1587,129.1275141,64
35.1587,129.1281459,64
35.1587,129.1287778,66
35.1587,129.1294096,63
35.1587,129.1300415,62
35.1587,129.1306733,63
35.1587,129.1313052,65
35.1587,129.131937,65
35.1587,129.1325689,62
35.15915,129.1132974,51
35.15915,129.1139293,52
35.15915,129.1145611,54
35.15915,129.115193,55
35.15915,129.1158248,51
35.15915,129.1164567,34
35.15915,129.1170885,47
35.15915,129.1177204,52
35.15915,129.1246707,42
35.15915,129.1253026,45
35.15915,129.1259344,59
35.15915,129.1265663,59
35.15915,129.1271982,64
35.15915,129.12783,64
35.15915,129.1284619,60
35.15915,129.1290937,61
35.15915,129.1297256,62
35.15915,129.1303574,66
35.15915,129.1309893,73
35.15915,129.1316211,77
35.15915,129.132253,72
35.1596,129.1136133,52
35.1596,129.1142452,52
35.1596,129.1268822,53
35.1596,129.1275141,55
35.1596,129.1281459,57
35.1596,129.1287778,59
35.1596,129.1294096,61
35.1596,129.1300415,67
35.1596,129.1306733,78
35.1596,129.1313052,100
35.1596,129.131937,100
35.16005,129.12783,54
35.16005,129.1284619,56
35.16005,129.1290937,59
35.16005,129.1297256,64
35.16005,129.1303574,74
35.16005,129.1309893,100
35.16005,129.1316211,100
35.1605,129.1294096,60
35.1605,129.1300415,67
35.1605,129.1306733,78
35.1605,129.1313052,100
35.16095,129.1309893,74
